dod,female,kommun60,experiment,foddar,ett
0.4761905,0,301,0,40,21
0.4210526,1,301,0,40,19
0.4166667,0,301,0,41,12
0.3636364,1,301,0,41,22
0.72,0,301,0,42,25
0.1666667,1,301,0,42,18
0.5,0,301,0,43,16
0.3571429,1,301,0,43,14
0.625,0,301,0,44,16
0,1,301,0,44,9
0,0,301,0,45,7
0,1,301,0,45,5
0.5,0,301,0,46,4
0.6666667,1,301,0,46,6
0.2765957,0,301,1,47,47
0.2340426,1,301,1,47,47
0.36,0,301,1,48,50
0.2222222,1,301,1,48,36
0.2894737,0,301,1,49,38
0.2439024,1,301,1,49,41
0.1428571,0,301,1,50,35
0.0967742,1,301,1,50,31
0.2142857,0,301,1,51,28
0.0857143,1,301,1,51,35
0.25,0,301,1,52,28
0,1,301,1,52,26
0.3,0,301,1,53,30
0,1,301,1,53,24
0.24,0,301,1,54,25
0.0689655,1,301,1,54,29
0.1904762,0,301,1,55,21
0.0714286,1,301,1,55,28
0,0,301,1,56,24
0.2352941,1,301,1,56,17
0.1851852,0,301,1,57,27
0.3333333,1,301,1,57,18
0.5714286,0,302,0,40,14
0.5,1,302,0,40,12
0.4,0,302,0,41,10
0.375,1,302,0,41,16
0.1666667,0,302,0,42,12
0.0833333,1,302,0,42,12
0.1111111,0,302,0,43,9
0.0909091,1,302,0,43,11
0.1111111,0,302,0,44,9
0.5714286,1,302,0,44,14
0.6470588,0,302,0,45,17
0.2222222,1,302,0,45,9
0,0,302,0,46,3
0,1,302,0,46,3
0.2244898,0,302,1,47,49
0.3636364,1,302,1,47,44
0.325,0,302,1,48,40
0.2105263,1,302,1,48,38
0.3529412,0,302,1,49,34
0.1428571,1,302,1,49,49
0.0606061,0,302,1,50,33
0.25,1,302,1,50,32
0.1555556,0,302,1,51,45
0.2903226,1,302,1,51,31
0.1724138,0,302,1,52,29
0.1212121,1,302,1,52,33
0.2903226,0,302,1,53,31
0.1621622,1,302,1,53,37
0.1142857,0,302,1,54,35
0.125,1,302,1,54,32
0.0857143,0,302,1,55,35
0.15625,1,302,1,55,32
0.0810811,0,302,1,56,37
0.2,1,302,1,56,30
0.1851852,0,302,1,57,27
0.173913,1,302,1,57,23
0.4,0,303,0,40,5
0,1,303,0,40,4
0.2857143,0,303,0,41,7
0.3333333,1,303,0,41,6
0.4,0,303,0,42,5
0.4,1,303,0,42,5
0,0,303,0,43,6
0.8,1,303,0,43,5
0.3333333,0,303,0,44,6
0,1,303,0,44,9
0.2857143,0,303,0,45,14
0,1,303,0,45,3
0,0,303,0,46,5
0.1818182,1,303,0,46,11
0.2,0,303,0,47,30
0.1666667,1,303,0,47,36
0.1785714,0,303,0,48,28
0.21875,1,303,0,48,32
0.1333333,0,303,1,49,30
0,1,303,1,49,22
0.3,0,303,1,50,20
0.1851852,1,303,1,50,27
0.25,0,303,1,51,32
0.0714286,1,303,1,51,28
0,0,303,1,52,26
0,1,303,1,52,19
0.1904762,0,303,1,53,21
0.1851852,1,303,1,53,27
0.24,0,303,1,54,25
0.0416667,1,303,1,54,24
0.25,0,303,1,55,36
0.1666667,1,303,1,55,24
0.0869565,0,303,1,56,23
0,1,303,1,56,24
0.0434783,0,303,1,57,23
0,1,303,1,57,14
0.6666667,0,304,0,40,18
0.3846154,1,304,0,40,13
0.6153846,0,304,0,41,13
0.44,1,304,0,41,25
0.3157895,0,304,0,42,19
0,1,304,0,42,4
0.3333333,0,304,0,43,18
0.1538462,1,304,0,43,13
0.4545455,0,304,0,44,11
0.2,1,304,0,44,10
0,0,304,0,45,3
0.4666667,1,304,0,45,15
0,0,304,0,46,9
0.3333333,1,304,0,46,6
0.2258064,0,304,0,47,62
0.1969697,1,304,0,47,66
0.1851852,0,304,0,48,81
0.1451613,1,304,0,48,62
0.3432836,0,304,0,49,67
0.1666667,1,304,0,49,72
0.1451613,0,304,0,50,62
0.2054795,1,304,0,50,73
0.2567568,0,304,0,51,74
0.2033898,1,304,0,51,59
0.0735294,0,304,0,52,68
0.1449275,1,304,0,52,69
0.0967742,0,304,1,53,62
0.0344828,1,304,1,53,58
0.1754386,0,304,1,54,57
0.1964286,1,304,1,54,56
0.16,0,304,1,55,50
0.0925926,1,304,1,55,54
0.1470588,0,304,1,56,68
0.2,1,304,1,56,55
0.078125,0,304,1,57,64
0,1,304,1,57,35
0.4581281,0,305,0,40,406
0.3177842,1,305,0,40,343
0.4013921,0,305,0,41,431
0.3161954,1,305,0,41,389
0.3817098,0,305,0,42,503
0.2453704,1,305,0,42,432
0.346856,0,305,0,43,493
0.207113,1,305,0,43,478
0.3688663,0,305,0,44,591
0.2370937,1,305,0,44,523
0.3101695,0,305,0,45,590
0.214669,1,305,0,45,559
0.2888087,0,305,0,46,554
0.2340824,1,305,0,46,534
0.2870968,0,305,0,47,310
0.2079208,1,305,0,47,303
0.2527076,0,305,0,48,277
0.1951219,1,305,0,48,328
0.2204724,0,305,0,49,254
0.1622642,1,305,0,49,265
0.2180451,0,305,0,50,266
0.1658986,1,305,0,50,217
0.2190813,0,305,0,51,283
0.0857143,1,305,0,51,245
0.2193309,0,305,0,52,269
0.0917431,1,305,0,52,218
0.1578947,0,305,1,53,266
0.0950226,1,305,1,53,221
0.1985294,0,305,1,54,272
0.1150443,1,305,1,54,226
0.1185185,0,305,1,55,270
0.0844444,1,305,1,55,225
0.114094,0,305,1,56,298
0.0470588,1,305,1,56,255
0.1,0,305,1,57,230
0.0869565,1,305,1,57,230
0.5142857,0,306,0,40,35
0,1,306,0,40,32
0.6052632,0,306,0,41,38
0.4736842,1,306,0,41,38
0.4186046,0,306,0,42,43
0.15,1,306,0,42,20
0.2222222,0,306,0,43,18
0.3,1,306,0,43,30
0.1666667,0,306,0,44,12
0.1333333,1,306,0,44,30
0.4583333,0,306,0,45,24
0.4761905,1,306,0,45,21
0.3333333,0,306,0,46,12
0.2727273,1,306,0,46,11
0.2380952,0,306,0,47,105
0.231405,1,306,0,47,121
0.3106796,0,306,0,48,103
0.18,1,306,0,48,100
0.2,0,306,1,49,110
0.0795455,1,306,1,49,88
0.2252252,0,306,1,50,111
0.11,1,306,1,50,100
0.1340206,0,306,1,51,97
0.1333333,1,306,1,51,75
0.2647059,0,306,1,52,102
0.1829268,1,306,1,52,82
0.1098901,0,306,1,53,91
0.1847826,1,306,1,53,92
0.1447368,0,306,1,54,76
0.125,1,306,1,54,80
0.0526316,0,306,1,55,76
0.0322581,1,306,1,55,93
0.0952381,0,306,1,56,84
0.1408451,1,306,1,56,71
0.0366972,0,306,1,57,109
0.0786517,1,306,1,57,89
0.5882353,0,307,0,40,68
0.3030303,1,307,0,40,33
0.4489796,0,307,0,41,49
0.1944444,1,307,0,41,36
0.4533333,0,307,0,42,75
0.2727273,1,307,0,42,55
0.4657534,0,307,0,43,73
0.2678571,1,307,0,43,56
0.4677419,0,307,0,44,62
0.2321429,1,307,0,44,56
0.4032258,0,307,0,45,62
0.3114754,1,307,0,45,61
0.3382353,0,307,0,46,68
0.1578947,1,307,0,46,57
0.2307692,0,307,0,47,78
0.1612903,1,307,0,47,62
0.2372881,0,307,0,48,59
0.2835821,1,307,0,48,67
0.1578947,0,307,0,49,57
0.1666667,1,307,0,49,60
0.2711864,0,307,0,50,59
0.1724138,1,307,0,50,58
0.2096774,0,307,0,51,62
0.1914894,1,307,0,51,47
0.25,0,307,0,52,56
0.125,1,307,0,52,48
0.2537313,0,307,0,53,67
0.1076923,1,307,0,53,65
0.203125,0,307,0,54,64
0.1020408,1,307,0,54,49
0.0980392,0,307,0,55,51
0.0697674,1,307,0,55,43
0.1481481,0,307,1,56,54
0.1904762,1,307,1,56,42
0.1454545,0,307,1,57,55
0.1111111,1,307,1,57,54
0.5555556,0,308,0,40,9
0.3333333,1,308,0,40,9
0.4444444,0,308,0,41,9
0.6666667,1,308,0,41,6
0.2727273,0,308,0,42,11
0,1,308,0,42,12
0.5,0,308,0,43,4
0,1,308,0,43,8
0.2,0,308,0,44,10
0.8571429,1,308,0,44,7
0.3,0,308,0,45,10
0,1,308,0,45,4
0,0,308,0,46,2
0.5,1,308,0,46,4
0.1785714,0,308,0,47,28
0,1,308,0,47,11
0.2432432,0,308,0,48,37
0.1724138,1,308,0,48,29
0.3142857,0,308,0,49,35
0.1,1,308,0,49,30
0.2105263,0,308,0,50,19
0.0769231,1,308,0,50,26
0.2258064,0,308,0,51,31
0.1111111,1,308,0,51,18
0.1176471,0,308,0,52,17
0.2380952,1,308,0,52,21
0.1176471,0,308,1,53,17
0.2258064,1,308,1,53,31
0.0625,0,308,1,54,16
0.0666667,1,308,1,54,15
0.1304348,0,308,1,55,23
0,1,308,1,55,22
0.125,0,308,1,56,24
0.0740741,1,308,1,56,27
0.125,0,308,1,57,16
0.1666667,1,308,1,57,24
0,0,309,0,40,5
0,1,309,0,40,1
0,0,309,0,41,2
0,1,309,0,41,4
0,1,309,0,42,1
1,0,309,0,43,2
0.6666667,1,309,0,43,6
0,0,309,0,44,5
0,0,309,0,45,1
0,1,309,0,45,1
0.5,0,309,0,46,4
0,1,309,0,46,2
0.2264151,0,309,0,47,53
0.1612903,1,309,0,47,31
0.2413793,0,309,0,48,58
0.0243902,1,309,0,48,41
0.1395349,0,309,0,49,43
0.1176471,1,309,0,49,34
0.326087,0,309,0,50,46
0.1111111,1,309,0,50,45
0.1428571,0,309,0,51,42
0.0322581,1,309,0,51,31
0.3571429,0,309,0,52,42
0.2,1,309,0,52,40
0.1052632,0,309,1,53,38
0.1702128,1,309,1,53,47
0.0980392,0,309,1,54,51
0.0930233,1,309,1,54,43
0.1351351,0,309,1,55,37
0.1136364,1,309,1,55,44
0.0263158,0,309,1,56,38
0,1,309,1,56,31
0.0666667,0,309,1,57,30
